Rank,Polish,English,IPA,Hint,Frequency
159,lepiej,better,/ˈlɛpʲɛj/,LEP-yey,152593
160,miał,had (masc.),/mʲaw/,myaw,152042
161,rzeczy,things,/ˈʐɛt͡ʂɨ/,ZHE-chih,151027
162,twoja,your (fem.),/ˈtfɔja/,TFO-ya,150346
163,czasu,time (gen.),/ˈt͡ʂasu/,CHA-su,149477
164,ok,okay,/ok/,ok,148006
165,temu,ago / then,/ˈtɛmu/,TE-moo,147615
166,robisz,you do,/ˈrɔbiʂ/,RO-bish,147246
167,myślisz,you think,/ˈmɨɕliʂ/,MISH-lish,146634
168,kim,who (instr.),/kim/,keem,146518
169,niech,let / may,/ɲɛx/,nyekh,145960
170,które,which (neut./pl.),/ˈktuʐɛ/,KTOO-zheh,144895
171,oczywiście,of course,/ɔt͡sɨˈviɕt͡ɕɛ/,ot-shee-VEE-sh-cheh,143326
172,siebie,oneself / myself,/ˈɕɛbʲɛ/,SHE-byeh,143313
173,niego,him,/ˈɲɛgɔ/,nyeh-go,142933
174,cóż,well / so,/t͡suwʂ/,choosh,141898
175,powiedział,he said,/pɔvjɛˈd͡ʑawʲ/,po-vye-JAW,141467
176,u,at / by,/u/,oo,141209
177,daj,give,/daj/,dye,141158
178,moim,my (instr./masc.),/ˈmɔim/,MO-yeem,140845
179,chodź,come,/xɔd͡ʑ/,hodj,140119
180,musi,must / has to,/ˈmusi/,MOO-see,140063
181,my,we / us,/mɨ/,mih,139667
182,nikt,nobody,/nikt/,neekt,139542
183,twoje,your (neut./pl.),/ˈtfɔjɛ/,TFO-yeh,139460
184,tych,these (gen.),/tɨx/,tikh,138793
185,pod,under / below,/pɔt/,pod,137518
186,dlatego,therefore / that’s why,/daˈtɛɡɔ/,da-TEH-go,136719
187,pewnie,sure / certainly,/ˈpɛvɲɛ/,PEV-nyeh,133794
188,powiedz,say (imperative),/ˈpɔvjɛd͡ʑ/,po-vyech,133182
189,aby,in order to / to,/ˈabɨ/,AH-bih,131894
190,wtedy,then,/ˈftɛdɨ/,FTEH-dih,129790
191,wygląda,looks like,/vɨɡˈlɔnda/,vi-glohn-dah,129394
192,jeden,one,/ˈjɛdɛn/,YEH-den,128427
193,mojego,my (masc. gen.),/mɔˈjɛɡɔ/,mo-YEH-go,127604
194,im,them / for them,/im/,eem,127101
195,mówi,says / speaks,/ˈmuvʲi/,MOO-vee,125721
196,dziś,today,/d͡ʑiɕ/,jish,125499
197,taki,such / like that,/ˈtakʲi/,TAH-kee,124839
198,mieć,to have,/ˈmʲet͡ɕ/,myetch,124567
199,jako,as / like,/ˈjakɔ/,YA-ko,124059
200,dwa,two,/dva/,dvah,123485
201,potem,then / later,/ˈpɔtɛm/,PO-tem,123106
202,wie,knows,/vʲɛ/,vye,121813
203,takie,such / like that (pl.),/ˈtakʲɛ/,TAH-kyeh,121805
204,nią,her (instr.),/ɲɔ̃/,nyaw,121535
205,wszystkie,all (pl.),/ˈfʂɨstkʲɛ/,FSHYS-tkyeh,121446
206,znaczy,means,/ˈznaʧɨ/,ZNAH-chih,121002
207,rozumiem,I see / understand,/rɔˈzumjɛm/,ro-ZOO-myem,119652
208,dzieje,history / happenings,/ˈd͡ʑɛjɛ/,JYE-yeh,119411
209,moją,my (fem.),/ˈmɔjɔ̃/,MO-yaw,119279
210,będziemy,we will be,/bɛnˈd͡ʑɛmɨ/,ben-JEM-ih,118181
211,wiele,many / a lot,/ˈvjɛlɛ/,VYE-leh,117908
212,stąd,hence / from here,/stɔnt/,stont,117056
213,oni,they (masc.),/ˈɔɲi/,OH-nee,116753
214,mojej,my (fem. gen.),/ˈmɔjɛj/,MO-yey,116624
215,miejsce,place,/ˈmjɛst͡sɛ/,MYEH-steh,116573
216,iść,to go,/iɕt͡ɕ/,eeshch,115801
217,kilka,several / a few,/ˈkilka/,KEEL-kah,115635
218,pomóc,help,/ˈpɔmut͡s/,PO-moots,115614
219,dużo,a lot / much,/ˈduʐɔ/,DOO-zho,114952
220,ile,how many / how much,/ˈilɛ/,EE-leh,112873
221,jasne,of course / clear,/ˈjasnɛ/,YAS-neh,112750
222,byłem,I was (masc.),/ˈbɨwɛm/,BIH-wem,112691
223,swoje,own / his own,/ˈsfɔjɛ/,SFO-yeh,111245
224,myśli,thinks,/ˈmɨɕlʲi/,MISH-lee,111224
225,cały,whole / entire,/ˈt͡sawɨ/,TSAH-wih,111220
226,skąd,from where,/skɔnt/,skont,110204
227,wiedzieć,to know,/ˈvʲɛd͡ʑɛt͡ɕ/,VYE-djetch,108818
228,dzieci,children,/ˈd͡ʑɛt͡ɕi/,JYE-chih,108419
229,nich,them / of them,/nix/,neekh,108311
230,która,which (fem.),/ˈktuʐa/,KTOO-zha,106495
231,wam,to you (pl.),/vam/,vahm,105972
232,przykro,sorry / regret,/ˈpʂɨkrɔ/,PSHI-kroh,105926
233,można,can / possible,/ˈmɔʐna/,MOZH-nah,105450
234,jakieś,some / certain,/ˈjakjɛɕ/,YA-kyesh,105124
235,tę,this / that (acc. fem.),/tɛ̃/,teh,104516
236,wszystkich,all / everyone (gen.),/ˈfʂɨstkɨx/,FSHYS-tkikh,104113
237,nad,over / above,/nad/,nad,104024
238,jakiś,some / any,/ˈjakɕ/,YAK-sh,103860
239,sposób,way / method,/ˈspɔsuɕ/,SPO-sosh,103855
240,trzeba,it's necessary / must,/ˈtʂɛba/,CHEH-bah,103284
241,mają,have / they have,/ˈmajɔ̃/,MYAW,103148
242,niej,her / of her,/ɲɛj/,nyei,101430
243,pracy,work / job,/ˈprat͡sɨ/,PRAH-tsih,101224
244,kogoś,someone,/ˈkɔgɔɕ/,KO-gosh,100740
245,tyle,so much / so many,/ˈtɨlɛ/,TI-leh,100637
246,robić,to do / make,/ˈrɔbʲit͡ɕ/,RO-bich,100071
247,bardziej,more / rather,/ˈbard͡ʑɛj/,BAR-jay,100011
248,mówisz,you say / speak,/ˈmuvʲiʂ/,MOO-vish,99924
249,zanim,before / until,/ˈzanʲim/,ZAH-nim,99188
250,zbyt,too / excessively,/zbɨt/,zbyt,97923
251,szybko,quickly,/ˈʂɨb.kɔ/,SHIH-bko,97630
252,dzisiaj,today,/ˈd͡ʑi.ɕaɕ/,JEE-shyash,96974
253,tobie,to you (sing.),/ˈtɔ.bʲɛ/,TO-byeh,96562
254,takiego,such / of that kind (masc.),/taˈkʲɛɡɔ/,ta-KYE-go,95637
255,świetnie,great / excellently,/ˈɕfjɛt.ɲɛ/,SHFYET-nyeh,94599
256,zobaczyć,to see,/zɔˈbat͡ʂɨt͡ɕ/,zo-BAH-chich,93981
257,zaraz,immediately / soon,/ˈza.ras/,ZAH-raz,93903
258,pewno,certainly,/ˈpɛv.nɔ/,PEV-no,93700
259,miałem,I had (masc.),/ˈmʲawɛm/,MYAW-em,93581
260,kocham,I love,/ˈkɔ.xam/,KO-kham,93536
261,mówię,I say / speak,/ˈmuvʲjɛ/,MOO-vyeh,93488
262,nadal,still / yet,/ˈna.dal/,NA-dal,92632
263,jaki,what / which,/ˈja.kʲi/,YA-kee,92417
264,rację,right / correct,/ˈrat͡s.jɛ/,RAH-tsyeh,91651
265,kochanie,honey / darling,/kɔˈxa.ɲɛ/,ko-KHA-nyeh,91307
266,myślałem,I thought (masc.),/mɨɕˈla.wɛm/,MISH-la-wem,91134
267,trzy,three,/tʂɨ/,tzhih,90688
268,ojciec,father,/ˈɔj.t͡ɕɛt͡s/,OY-tyets,90532
269,ani,nor / neither,/ˈa.nʲi/,AH-nee,90528
270,robi,does / makes,/ˈrɔ.bʲi/,RO-bee,89112
271,stanie,will stand / state,/ˈsta.ɲɛ/,STAH-nyeh,88873
272,tą,this one (acc. fem.),/tɔ̃/,taw,88479
273,później,later,/ˈpuʑ.ɲɛj/,POOZH-nyeh,88384
274,ponieważ,because,/pɔ.niˈʃt͡ɛ/,po-nee-SHCH,88119
275,idź,go (imperative),/iɕt͡ɕ/,eeshch,87510
276,życia,life,/ˈʐɨ.t͡ɕa/,ZHI-tyah,87209
277,twoim,your (masc.),/ˈtvɔ.im/,TVO-im,87163
278,przestań,stop (imperative),/ˈpʂɛ.staɲ/,PSHES-tahn,87065
279,sie,reflexive particle,/ɕɛ/,shyeh,87050
280,swoją,your own (fem.),/ˈsfɔ.jɔ̃/,SFO-yaw,86609
281,chciałem,I wanted (masc.),/xʲt͡ɕaˈwɛm/,KHCHAH-wem,86245
282,długo,long / for a long time,/ˈdwu.ɡɔ/,DWOH-go,85469
283,mamo,mom,/ˈma.mɔ/,MA-mo,85342
284,kiedyś,once / someday,/ˈkʲɛ.dɨɕ/,KYE-dish,85085
285,cholera,darn / damn / hell,/ˈxɔ.lɛ.ra/,HO-leh-rah,85043
286,wciąż,still / continuously,/ft͡ʂɔ̃t͡ʂ/,FCHONCH,84964
287,nadzieję,hope,/ˈnad.ʑɛ.jɛ/,NAD-yeh-yeh,84817
288,aż,until / as much as,/aʂ/,ash,84700
289,będą,they will be,/ˈbɛn.dɔ̃/,BEN-daw,84671
290,jutro,tomorrow,/ˈju.trɔ/,YOO-troh,84479
291,każdy,everyone / each,/ˈkaʐ.dɨ/,KAH-zhdih,83960
292,dni,days,/dni/,dni,83654
293,problem,problem,/ˈprɔ.blɛm/,PRO-blem,83534
294,widzę,I see,/ˈvid͡zɛ/,VEED-zheh,83206
295,mógł,could (masc.),/muwɡw/,moogw,83152
296,stary,old,/ˈsta.rɨ/,STAH-ree,82685
297,taka,such / like that (fem.),/ˈta.ka/,TAH-kah,82627
298,żebyś,so that you,/ˈʐɛ.bɨɕ/,ZHEH-bish,81910
299,widzisz,you see,/ˈvid͡ʑiʂ/,VEED-zish,81669
300,twojej,your (fem.),/ˈtvɔ.jɛj/,TVO-yeh,81185
301,tato,dad,/ˈta.tɔ/,TAH-to,80798
302,potrzebuję,I need,/pɔ.tʂɛˈbu.jɛ/,po-tseh-BOO-yeh,80733
303,znowu,again,/ˈznɔ.vu/,ZNO-voo,80445
304,kurwa,whore / damn,/ˈkur.va/,KOOR-vah,80388
305,dziecko,kid / child,/ˈd͡ʑɛt͡skɔ/,JET-skoh,79933
306,nocy,night (gen.),/ˈnɔ.t͡sɨ/,NO-tsih,79849
307,znaleźć,to find,/ˈzna.lɛɕt͡ɕ/,ZNA-leshch,79743
308,sama,alone / herself,/ˈsa.ma/,SA-ma,79622
309,dokładnie,exactly,/dɔkˈwad.ɲɛ/,dok-WAD-nyeh,79075
310,dnia,day (gen.),/ˈdɲa/,dnya,79064
311,oh,oh,/ɔx/,oh,78757
312,pierwszy,first,/ˈpʂɛ.fɨ/,PSHEH-vih,78717
313,czuję,I feel,/ˈt͡ʂu.jɛ/,CHOO-yeh,78699
314,pieniądze,money,/ˈpʲɛ.ɲɔ̃.d͡zɛ/,PYEH-nyon-dzeh,78076
315,powiem,I will say,/ˈpɔ.vjɛm/,POH-vyem,77603
316,zrobił,he did,/ˈzro.biw/,ZRO-biw,77295
317,nami,us / with us,/ˈna.mi/,NA-mee,77059
318,miała,she had,/ˈmʲa.wa/,MYA-wah,76988
319,twoją,your (acc. fem.),/ˈtvɔ.jɔ̃/,TVO-yaw,76979
320,gdyby,if,/ˈɡdɨ.bɨ/,GDY-bih,76796
321,nasz,our (masc.),/naʂ/,nash,76292
322,nasze,our (neut.),/ˈna.ʂɛ/,NA-sheh,75931
323,razie,for now,/ˈra.ʑɛ/,RAH-zheh,75917
324,samo,itself,/ˈsa.mɔ/,SA-moh,75561
325,były,were (fem. pl.),/ˈbɨ.wɨ/,BI-wih,74847
326,dobre,good (neut./pl.),/ˈdɔ.brɛ/,DOH-breh,74775
327,słuchaj,listen,/ˈswu.xaj/,SWOO-hai,74699
328,koniec,end,/ˈkɔ.ɲɛt͡s/,KOH-nyets,74633
329,chciał,he wanted,/xʲt͡ɕaw/,KHCHAW,74406
330,widziałem,I saw (masc.),/vʲiˈd͡ʑa.wɛm/,vee-JAH-wem,74347
331,jakie,what / which (pl.),/ˈja.kʲɛ/,YA-kyeh,74262
332,wszystkim,to everyone,/fʂɨsˈt͡sɨm/,fshihs-TSIM,73695
333,znam,I know,/znam/,znam,73681
334,wcześniej,before / earlier,/ˈfʂɛɕ.ɲɛj/,FSHESH-nyeh,73355
335,spokój,composure / peace,/ˈspɔ.kui̯/,SPO-koy,72786
336,chwilę,moment / a while,/ˈxfi.lɛ/,HFEE-leh,72545
337,mama,mother,/ˈma.ma/,MA-ma,72438
338,sobą,yourself / herself,/ˈsɔ.bɔ̃/,SO-baw,71978
339,zostać,to stay / remain,/ˈzɔ.stat͡ɕ/,ZO-statsh,71918
340,został,was left / remained,/ˈzɔ.staw/,ZO-staw,71877
341,wy,you (plural),/vɨ/,vih,71834
342,czegoś,something (gen.),/ˈt͡ʂɛ.ɡɔɕ/,CHEH-gosh,71676
343,żyje,is alive / lives,/ˈʐɨ.jɛ/,ZHI-yeh,71606
344,mówić,to talk / speak,/ˈmuvʲit͡ɕ/,MOO-vich,71251
345,bym,I would,/bɨm/,bim,71199
346,którzy,who (pl.),/ktuˈri/,k-too-REE,70985
347,porozmawiać,to talk / chat,/pɔ.rɔzˈmavʲat͡ɕ/,po-rohz-MAH-vyach,70763
348,spójrz,look (imperative),/spujʂ/,spooyrzh,70280
349,roku,year (gen.),/ˈrɔ.ku/,RO-koo,70154
350,mogą,they can,/ˈmɔ.ɡɔ̃/,MOH-gaw,69684
351,chciałbym,I’d like,/xʲt͡ɕawˈbɨm/,KHCHAW-bim,69552
352,zabić,to kill,/ˈza.bʲit͡ɕ/,ZAH-bich,69481
353,poza,apart from / outside,/ˈpɔ.za/,POH-zah,69292
354,dom,house / home,/dɔm/,dom,69135
355,we,in / into,/vɛ/,veh,68974
356,imię,name,/ˈi.mʲɛ/,EE-myeh,68874
357,twojego,yours (masc.),/ˈtvɔ.jɛ.ɡɔ/,TVO-yeh-go,68724
358,lub,or,/lub/,loob,68669
359,och,oh,/ɔx/,oh,68323
360,miło,nice / pleasant,/ˈmi.wɔ/,MEE-woh,67768
361,którą,which (fem.),/ˈktu.rɔ̃/,KTOO-roh,67713
362,kogo,whom,/ˈkɔ.ɡɔ/,KOH-go,67541
363,sir,sir,/sɪr/,sir,67420
364,minut,minutes,/ˈmi.nut/,MEE-noot,67386
365,jakby,as if,/ˈjak.bɨ/,YAHK-bih,67124
366,prawie,almost,/ˈpra.vjɛ/,PRAH-vyeh,67021
367,drzwi,door,/dʐfʲi/,JRZV-ee,66329
368,byłam,I was (fem.),/ˈbɨ.wam/,BI-wam,66245
369,jesteście,you are (plural),/jɛˈstɛɕ.t͡ɕɛ/,yes-TESH-chyeh,66213
370,posłuchaj,listen,/pɔˈswu.xaj/,po-SWOO-hai,65927
371,powiedziałem,I said (masc.),/pɔ.vʲɛˈd͡ʑa.wɛm/,po-vye-JAH-wem,65923
372,powodu,because of,/pɔˈvɔ.du/,po-VOH-doo,65567
373,powinniśmy,we should,/pɔˈvʲinːi.ɕmɨɕ/,po-VIN-nish-mish,65168
374,gdzieś,somewhere,/ˈɡd͡ʑɛɕ/,GD-yesh,64951
375,końcu,in the end,/ˈkɔɲ.t͡su/,KOHN-tsu,64753
376,lubię,I like,/ˈlu.bʲjɛ/,LOO-byeh,64747
377,mów,speak (imperative),/muf/,moof,64652
378,sprawy,matters / affairs,/ˈspra.vɨ/,SPRAH-vih,64582
379,czekaj,wait (imperative),/ˈt͡ʂɛ.kaj/,CHEH-kai,64420
380,pomysł,idea,/ˈpɔ.mɨs.w/,PO-mihs-w,64255
381,zrobię,I will do,/ˈzro.bʲɛ/,ZRO-byeh,63828
382,wiemy,we know,/ˈvʲɛm.ɨ/,VYEH-mih,63651
383,wydaje,spends / seems,/vɨˈd͡a.jɛ/,vi-DAH-yeh,63560
384,byłeś,you were (masc.),/bɨˈwɛɕ/,bi-WESH,63330
385,razy,times / instances,/ˈra.zɨ/,RAH-zih,63104
386,moich,my (gen.),/ˈmɔ.ix/,MO-ikh,63102
387,człowiek,man / human,/ˈt͡ʂwɔ.vʲɛk/,CHWO-vyek,63033
388,jednak,but / however,/ˈjɛn.dak/,YEN-dak,62868
389,innego,another / different,/ˈin.nɛ.ɡɔ/,IN-neh-go,62741
390,dość,enough,/dɔɕt͡ɕ/,doshch,62209
391,pomocy,help / assistance,/pɔˈmɔ.t͡sɨ/,po-MO-tsih,61800
392,przecież,yet / after all,/ˈpɾɛ.t͡ʂɛʂ/,PRESH-yehsh,61716
393,panu,to you (formal),/ˈpa.nu/,PAH-noo,61607
394,broń,weapon,/brɔɲ/,bron,61580
395,żadnych,none / any,/ˈʐad.nɨx/,ZHAD-nih,61525
396,noc,night,/nɔt͡s/,nots,61195
397,macie,you have (pl.),/ˈmat͡ɕɛ/,MA-chyeh,61132
398,ciągle,all the time / constantly,/ˈt͡ɕɔŋ.ɡlɛ/,CHON-gleh,60764
399,c,c,/t͡s/,ts,60758
400,żebym,so that I,/ˈʐɛ.bɨm/,ZHEH-bim,60555
401,źle,badly,/ʑlɛ/,ZH-leh,60434
402,powiedziała,she said,/pɔ.vʲɛˈd͡ʑa.wa/,po-vye-JAH-wah,60189
403,facet,guy / man,/ˈfa.t͡sɛt/,FAH-tset,60026
404,mówiłem,I said (masc.),/ˈmuvʲi.wɛm/,MOO-vyeh-wem,60017
405,którego,whose / which,/ktuˈrɛɡɔ/,ktoo-REH-go,60003
406,podoba,I like it / pleases,/pɔˈdɔ.ba/,po-DOH-bah,59878
407,miejscu,place / location,/ˈmʲɛj͡s.t͡ɕu/,MYEH-stsyu,59516
408,jeżeli,if,/jɛˈʐɛ.lʲi/,yeh-ZHEH-lee,59169
409,skoro,since / as,/ˈskɔ.rɔ/,SKO-roh,59121
410,ego,ego,/ˈɛ.ɡɔ/,EH-go,58894
411,ojca,father (gen.),/ˈɔj.t͡sa/,OY-tsah,58549
412,powinieneś,you should,/pɔ.vʲiˈɲɛ.ɲɛɕ/,po-vee-NYE-nesh,58024
413,lata,years,/ˈla.ta/,LAH-tah,57944
414,sprawa,thing / matter,/ˈspra.va/,SPRAH-vah,57856
415,niczego,nothing,/ˈni.t͡ʂɛ.ɡɔ/,NEE-cheh-go,57307
416,takim,such / this kind,/ˈta.kʲim/,TAH-keem,57225
417,pamiętasz,do you remember,/paˈmjɛn.tɑʂ/,pah-MYEN-tash,56932
418,sądzę,I think / I suppose,/ˈsɔ̃.d͡zɛ/,SAWN-jeh,56896
419,właściwie,actually / really,/vʊˈɕt͡ɕi.vjɛ/,vuhsh-CHEE-vyeh,56835
420,dwie,two (fem.),/dvʲɛ/,dvyeh,56476
421,pokoju,peace / room,/pɔˈkɔ.ju/,po-KOH-yu,56418
422,którym,which (masc./neut.),/ˈktu.rɛm/,KTOO-rem,56135
